"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Meldedatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Strasse";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW";"MaStR-Nr. der zugeordneten Migrationseinheit"
"SEE987572326243";"PVA-Hausdach";"In Betrieb";"Solare Strahlungsenergie";"9,6";"8,5";"1/31/2019";"3/13/2019";"Sachsen";"04769";"Naundorf";"";"";"";"";"14730210";"";"";"32";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"7/25/2019";"";"";"natürliche Person (ABR944909228847)";"ABR944909228847";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL931110908866";"EEG938128855175";"E41081010000000000000000000290437";"1/31/2019";"";"";"";"";"";""
"SEE956902802078";"Querbitzsch";"In Betrieb";"Solare Strahlungsenergie";"634,705";"615";"1/30/2019";"1/31/2019";"Sachsen";"04769";"Mügeln";"Ablaßer Straße";"7";"";"";"14730200";"51,232";"12,961";"2081";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR990961559245)";"ABR990961559245";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL980379939968";"EEG980323050800";"";"1/30/2019";"";"";"";"";"";""
"SEE992983938985";"Haus";"In Betrieb";"Solare Strahlungsenergie";"5,4";"5,4";"6/16/2016";"2/1/2019";"Sachsen";"04420";"Markranstädt";"";"";"";"";"14729270";"";"";"20";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"Tatiana und Jens Hoffmann";"ABR959794392382";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL989574788494";"EEG999189477720";"E41081010000000000000000000247379";"6/16/2016";"";"";"";"";"";""
"SEE996241583627";"Speicher";"In Betrieb";"Speicher";"2,5";"2,5";"1/29/2019";"2/1/2019";"Sachsen";"04329";"Leipzig";"";"";"";"";"14713000";"";"";"";"";"";"";"";"";"";"5";"";"";"5/28/2019";"";"";"natürliche Person (ABR908722397616)";"ABR908722397616";"Teileinspeisung";"";"Netz Leipzig GmbH (SNB948859455841)";"SNB948859455841";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL928191649887";"EEG941366448177";"";"12/10/2009";"";"";"";"";"";""
"SEE931822555464";"Garage";"In Betrieb";"Solare Strahlungsenergie";"4,58";"4,58";"4/9/2014";"2/1/2019";"Sachsen";"04158";"Leipzig";"";"";"";"";"14713000";"";"";"14";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Sonstige)";"5/28/2019";"";"";"natürliche Person (ABR943655460105)";"ABR943655460105";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL909425624412";"EEG963084540629";"E41081010000000000000000000219659";"4/9/2014";"";"";"";"";"";""
"SEE948551710507";"EFH-Hausdach";"In Betrieb";"Solare Strahlungsenergie";"9";"7,6";"10/25/2017";"2/1/2019";"Sachsen";"04683";"Naunhof";"";"";"";"";"14729300";"";"";"30";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR965973730012)";"ABR965973730012";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL915458133029";"EEG900853453056";"E41081010000000000000000000262094";"10/25/2017";"";"";"";"";"";""
"SEE918321451886";"VARTA home";"In Betrieb";"Speicher";"2,4";"2,4";"1/2/2017";"2/1/2019";"Sachsen";"04158";"Leipzig";"";"";"";"";"14713000";"";"";"";"";"";"";"";"";"";"6,9";"";"";"5/28/2019";"";"";"natürliche Person (ABR943655460105)";"ABR943655460105";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom); Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL905925055152";"EEG909939579840";"";"1/2/2017";"";"";"";"";"";""
"SEE992704755730";"Stromspeicher";"In Betrieb";"Speicher";"4,6";"4,6";"10/25/2017";"2/1/2019";"Sachsen";"04683";"Naunhof";"";"";"";"";"14729300";"";"";"";"";"";"";"";"";"";"9,7";"";"";"5/28/2019";"";"";"natürliche Person (ABR965973730012)";"ABR965973730012";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL981486666105";"EEG996807897069";"";"10/25/2017";"";"";"";"";"";""
"SEE952963957498";"Hausdach-Solar";"In Betrieb";"Solare Strahlungsenergie";"9,735";"2,2";"1/24/2019";"2/1/2019";"Sachsen";"04509";"Wiedemar";"";"";"";"";"14730340";"";"";"33";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR987067257663)";"ABR987067257663";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL974160077052";"EEG957166288776";"E41081010000000000000000000285795";"1/24/2019";"";"";"";"";"";""
"SEE926009307073";"Batterie";"In Betrieb";"Speicher";"6,6";"4,6";"1/24/2019";"2/1/2019";"Sachsen";"04509";"Wiedemar";"";"";"";"";"14730340";"";"";"";"";"";"";"";"";"";"6,3";"";"";"5/28/2019";"";"";"natürliche Person (ABR987067257663)";"ABR987067257663";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL902679488656";"EEG920194775525";"";"1/24/2019";"";"";"";"";"";""
"SEE919815139785";"PV-Anlage";"In Betrieb";"Solare Strahlungsenergie";"7,65";"7";"2/14/2014";"2/1/2019";"Sachsen";"04349";"Leipzig";"";"";"";"";"14713000";"";"";"30";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"1/17/2020";"";"";"natürliche Person (ABR974399795642)";"ABR974399795642";"Teileinspeisung";"";"Netz Leipzig GmbH (SNB948859455841)";"SNB948859455841";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL973884258655";"EEG966834360348";"E40770010000010000000006968700001";"2/14/2014";"";"";"";"";"";""
"SEE967660108975";"PVA Tiefensee";"In Betrieb";"Solare Strahlungsenergie";"493,29";"420";"1/30/2019";"2/1/2019";"Sachsen";"04849";"Bad Düben";"Am Bruch";"15";"";"";"14730020";"51,58";"12,53";"1701";"Süd-Ost";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"7/17/2019";"";"";"PV Rodewisch GmbH & Co.KG";"ABR907764109171";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL971071199279";"EEG959346779692";"E41081010000000000000000000270160";"1/30/2019";"";"";"";"";"";""
"SEE947881033478";"Photovoltaik";"In Betrieb";"Solare Strahlungsenergie";"9,9";"9,9";"4/13/2017";"2/1/2019";"Sachsen";"04838";"Jesewitz";"";"";"";"";"14730140";"";"";"36";"West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"4/14/2020";"";"";"natürliche Person (ABR952290034398)";"ABR952290034398";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL953341783036";"EEG964632254371";"E41081010000000000000000000254846";"4/13/2017";"";"";"";"";"";""
"SEE972885998904";"Photovoltaikanlage Hausdach";"In Betrieb";"Solare Strahlungsenergie";"8";"8";"8/7/2018";"2/1/2019";"Sachsen";"04451";"Borsdorf";"";"";"";"";"14729060";"";"";"29";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR947140109708)";"ABR947140109708";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL983337007204";"EEG977944137843";"E41081010000000000000000000272976";"8/7/2018";"";"";"";"";"";""
"SEE975001643399";"Stromspeicher  S10 E Blackline";"In Betrieb";"Speicher";"3";"3";"8/7/2018";"2/1/2019";"Sachsen";"04451";"Borsdorf";"";"";"";"";"14729060";"";"";"";"";"";"";"";"";"";"10,56";"";"";"5/28/2019";"";"";"natürliche Person (ABR947140109708)";"ABR947140109708";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL953952726958";"EEG901121406866";"";"8/7/2018";"";"";"";"";"";""
"SEE941177414705";"PV 04808 Wur";"In Betrieb";"Solare Strahlungsenergie";"5,83";"5,83";"1/21/2014";"2/1/2019";"Sachsen";"04808";"Wurzen";"";"";"";"";"14729410";"";"";"22";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR967260287667)";"ABR967260287667";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL923398608248";"EEG938199683677";"";"12/11/2013";"";"";"";"";"";""
"SEE916400718448";"Photovoltaikspeicher";"In Betrieb";"Speicher";"3,2";"3,2";"6/29/2017";"2/1/2019";"Sachsen";"04838";"Jesewitz";"";"";"";"";"14730140";"";"";"";"";"";"";"";"";"";"4,8";"";"";"4/14/2020";"";"";"natürliche Person (ABR952290034398)";"ABR952290034398";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL953637296905";"EEG911180397739";"";"6/29/2017";"";"";"";"";"";""
"SEE924903141304";"Photovoltaikanlage André Pawlowski";"In Betrieb";"Solare Strahlungsenergie";"3,24";"3,24";"1/1/2017";"2/1/2019";"Sachsen";"04828";"Bennewitz";"";"";"";"";"14729030";"";"";"12";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR965109206657)";"ABR965109206657";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL978759549494";"EEG962503866951";"";"1/1/2017";"";"";"";"";"";""
"SEE976303121530";"Photovoltaikanlage Hausdach";"In Betrieb";"Solare Strahlungsenergie";"8,06";"8,06";"12/19/2018";"2/1/2019";"Sachsen";"04442";"Zwenkau";"";"";"";"";"14729430";"";"";"26";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR952213679941)";"ABR952213679941";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL960728878278";"EEG910610412721";"E41081010000000000000000000284777";"12/19/2018";"";"";"";"";"";""
"SEE951049949990";"PVA Goldener Born 2";"In Betrieb";"Solare Strahlungsenergie";"694,4";"600";"1/27/2019";"2/1/2019";"Sachsen";"04552";"Borna";"Klingenbergstraße";"16";"";"";"14729050";"51,169";"12,506";"2240";"Ost";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR943174420376)";"ABR943174420376";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL954306306772";"EEG956303888275";"E41081010000000000000000000271548";"1/27/2019";"";"";"";"";"";""
"SEE965132419857";"PVA Malte Vogel";"In Betrieb";"Solare Strahlungsenergie";"49,6";"49,6";"1/31/2019";"2/1/2019";"Sachsen";"04552";"Borna";"Klingenbergstraße";"888 Z";"";"";"14729050";"51,17";"12,506";"160";"Ost";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"2/7/2020";"";"";"natürliche Person (ABR933001156899)";"ABR933001156899";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL937648924125";"EEG961242173931";"E41081010000000000000000000271536";"1/31/2019";"";"";"";"";"";""
"SEE992314184371";"KWK-Anlage";"In Betrieb";"Erdgas";"0,78";"0,78";"12/4/2018";"2/1/2019";"Sachsen";"04249";"Leipzig";"";"";"";"";"14713000";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"Brennstoffzelle";"";"5/28/2019";"";"";"natürliche Person (ABR969718851925)";"ABR969718851925";"Teileinspeisung";"";"Netz Leipzig GmbH (SNB948859455841)";"SNB948859455841";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL993560494702";"";"";"";"";"KWK935433166712";"12/4/2018";"1";"1.1";""
"SEE917128600596";"Solaranlage";"In Betrieb";"Solare Strahlungsenergie";"9,88";"5";"6/18/2014";"2/1/2019";"Sachsen";"04552";"Borna";"";"";"";"";"14729050";"";"";"38";"Süd-Ost";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"8/23/2019";"";"";"natürliche Person (ABR979448545544)";"ABR979448545544";"Teileinspeisung";"";"Städtische Werke Borna Netz GmbH (SNB946013720880)";"SNB946013720880";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL949429430381";"EEG991785764709";"E40067010455220000000510030500000";"6/18/2014";"";"";"";"";"";""
"SEE931228443518";"PV-Anlage";"In Betrieb";"Solare Strahlungsenergie";"2,5";"2,5";"3/25/2014";"2/2/2019";"Sachsen";"04416";"Markkleeberg";"";"";"";"";"14729260";"";"";"10";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR939521967571)";"ABR939521967571";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL948990820935";"EEG985657567918";"E41081010000000000000000000218426";"3/25/2014";"";"";"";"";"";""
"SEE913144722700";"ASO-516013-18";"In Betrieb";"Solare Strahlungsenergie";"3,844";"3,6";"6/15/2018";"2/2/2019";"Sachsen";"04357";"Leipzig";"";"";"";"";"14713000";"";"";"15";"Ost";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR921224509462)";"ABR921224509462";"Teileinspeisung";"";"Netz Leipzig GmbH (SNB948859455841)";"SNB948859455841";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL946364099055";"EEG965847889358";"";"6/15/2018";"";"";"";"";"";""
"SEE947904822362";"4,86 kWp";"In Betrieb";"Solare Strahlungsenergie";"4,86";"4,6";"2/19/2017";"2/2/2019";"Sachsen";"04668";"Grimma";"";"";"";"";"14729160";"";"";"18";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR951089739759)";"ABR951089739759";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL942965827738";"EEG992294623365";"E41081010000000000000000000251515";"2/19/2017";"";"";"";"";"";""
"SEE917032819756";"PV-Dach";"In Betrieb";"Solare Strahlungsenergie";"3,64";"3,64";"10/14/2015";"2/2/2019";"Sachsen";"04416";"Markkleeberg";"";"";"";"";"14729260";"";"";"14";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR996417016102)";"ABR996417016102";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL944936106576";"EEG972826635127";"E41081010000000000000000000234400";"10/14/2015";"";"";"";"";"";""
"SEE916049443329";"Speicher SB 3600 Smart Energy";"In Betrieb";"Speicher";"3,68";"3,68";"10/23/2015";"2/2/2019";"Sachsen";"04416";"Markkleeberg";"";"";"";"";"14729260";"";"";"";"";"";"";"";"";"";"2";"";"";"5/28/2019";"";"";"natürliche Person (ABR996417016102)";"ABR996417016102";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL931021823159";"EEG997555584195";"";"10/23/2015";"";"";"";"";"";""
"SEE978047978241";"S-W-Dach";"In Betrieb";"Solare Strahlungsenergie";"9,735";"9";"10/4/2017";"2/2/2019";"Sachsen";"04838";"Doberschütz";"";"";"";"";"14730080";"";"";"33";"West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR913378145658)";"ABR913378145658";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL973909549218";"EEG980729885037";"E41081010000000000000000000261724";"10/4/2017";"";"";"";"";"";""
"SEE969754889029";"PV Naunhof Januar 2018";"In Betrieb";"Solare Strahlungsenergie";"8,26";"7";"1/12/2018";"2/2/2019";"Sachsen";"04683";"Naunhof";"";"";"";"";"14729300";"";"";"28";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR947832774825)";"ABR947832774825";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL978193376731";"EEG981486741994";"E41081010000000000000000000260756";"1/12/2018";"";"";"";"";"";""
"SEE940198155543";"PV-Anlage Sauna/Garage";"In Betrieb";"Solare Strahlungsenergie";"3,24";"3";"5/24/2017";"2/2/2019";"Sachsen";"04651";"Bad Lausick";"";"";"";"";"14729010";"";"";"12";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR996205015201)";"ABR996205015201";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL969881137710";"EEG925957607532";"E41081010000000000000000000250888";"5/24/2017";"";"";"";"";"";""
"SEE934034301003";"Stromspeicher Naunhof 12.01.2018";"In Betrieb";"Speicher";"3,3";"3,3";"1/12/2018";"2/2/2019";"Sachsen";"04683";"Naunhof";"";"";"";"";"14729300";"";"";"";"";"";"";"";"";"";"6,9";"";"";"5/28/2019";"";"";"natürliche Person (ABR947832774825)";"ABR947832774825";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL974884396644";"EEG916004807111";"";"1/12/2018";"";"";"";"";"";""
"SEE997088218550";"Dach";"In Betrieb";"Solare Strahlungsenergie";"6,21";"5,2";"10/16/2014";"2/2/2019";"Sachsen";"04463";"Großpösna";"";"";"";"";"14729190";"";"";"23";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR906846303438)";"ABR906846303438";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL963038545540";"EEG938694387278";"E41081010000000000000000000224791";"10/16/2014";"";"";"";"";"";""
"SEE919583989797";"Fassade";"In Betrieb";"Solare Strahlungsenergie";"1,62";"0,8";"6/24/2015";"2/2/2019";"Sachsen";"04463";"Großpösna";"";"";"";"";"14729190";"";"";"6";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR906846303438)";"ABR906846303438";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL973481078922";"EEG919490647117";"E41081010000000000000000000284569";"6/24/2015";"";"";"";"";"";""
"SEE991433222421";"NEOstore 15";"In Betrieb";"Speicher";"3,5";"3,5";"10/16/2014";"2/2/2019";"Sachsen";"04463";"Großpösna";"";"";"";"";"14729190";"";"";"";"";"";"";"";"";"";"15";"";"";"7/1/2019";"";"";"natürliche Person (ABR906846303438)";"ABR906846303438";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL963038545540";"EEG989808449238";"";"10/16/2014";"";"";"";"";"";""
"SEE907376604576";"PV-Anlage";"In Betrieb";"Solare Strahlungsenergie";"7,425";"7";"7/10/2017";"2/2/2019";"Sachsen";"04420";"Markranstädt";"";"";"";"";"14729270";"";"";"27";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR987442772521)";"ABR987442772521";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL908038116895";"EEG934102392919";"E41081010000000000000000000255756";"7/10/2017";"";"";"";"";"";""
"SEE927387014874";"Hausdach";"In Betrieb";"Solare Strahlungsenergie";"9,8";"9,8";"6/17/2016";"2/2/2019";"Sachsen";"04654";"Frohburg";"";"";"";"";"14729230";"";"";"35";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"4/13/2020";"";"";"natürliche Person (ABR954314061106)";"ABR954314061106";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom); Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL967919196715";"EEG930635992978";"E41081010000000000000000000245319";"6/17/2016";"";"";"";"";"";""
"SEE921372338808";"PV Brandis";"In Betrieb";"Solare Strahlungsenergie";"5,61";"5";"7/31/2014";"2/2/2019";"Sachsen";"04821";"Brandis";"";"";"";"";"14729070";"";"";"22";"West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR937410028945)";"ABR937410028945";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL953592026616";"EEG942287687423";"E41081010000000000000000000222818";"7/31/2014";"";"";"";"";"";""
"SEE921067906756";"PV Brandis";"In Betrieb";"Speicher";"6";"4,6";"8/28/2014";"3/9/2019";"Sachsen";"04821";"Brandis";"";"";"";"";"14729070";"";"";"";"";"";"";"";"";"";"6";"";"";"7/18/2019";"";"";"natürliche Person (ABR937410028945)";"ABR937410028945";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL953592026616";"EEG992454943500";"";"8/28/2014";"";"";"";"";"";""
"SEE980908514185";"Sonne";"In Betrieb";"Solare Strahlungsenergie";"6,885";"6,885";"7/21/2016";"2/2/2019";"Sachsen";"04668";"Grimma";"";"";"";"";"14729160";"";"";"27";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"3/29/2020";"";"";"natürliche Person (ABR923072711707)";"ABR923072711707";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL916563320199";"EEG996157895197";"E41081010000000000000000000245234";"7/21/2016";"";"";"";"";"";""
"SEE953936153732";"Vogt-Factory";"In Betrieb";"Solare Strahlungsenergie";"7,37";"7,2";"6/13/2017";"2/2/2019";"Sachsen";"04299";"Leipzig";"";"";"";"";"14713000";"";"";"22";"Ost";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR980232635723)";"ABR980232635723";"Teileinspeisung";"";"Netz Leipzig GmbH (SNB948859455841)";"SNB948859455841";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL986813134920";"EEG905983857460";"";"6/13/2017";"";"";"";"";"";""
